iteration,1,2,3,4
647,15380,17401,46353,119
648,15380,17397,46272,118
649,15376,17393,46186,119
650,15371,17389,46181,119
651,15368,17381,46214,120
652,15361,17381,46187,120
653,15354,17372,46170,120
654,15350,17365,46184,120
655,15346,17363,46234,120
656,15346,17356,46235,116
657,15338,17346,46241,113
658,15334,17345,46270,114
659,15332,17344,46241,113
660,15326,17339,46314,112
661,15316,17331,46333,111
662,15303,17325,46329,111
663,15296,17320,46347,110
664,15293,17320,46363,109
665,15287,17306,46433,109
666,15286,17298,46463,109
667,15287,17292,46560,108
668,15285,17290,46544,108
669,15282,17286,46603,109
670,15273,17277,46658,109
671,15270,17272,46707,108
672,15268,17267,46697,107
673,15256,17262,46708,106
674,15254,17260,46780,107
675,15257,17251,46807,107
676,15256,17242,46826,107
677,15253,17240,46842,105
678,15247,17239,46838,105
679,15239,17240,46832,105
680,15236,17238,46894,106
681,15230,17235,46919,105
682,15227,17235,46969,105
683,15226,17228,46982,104
684,15225,17224,47016,104
685,15224,17224,47040,102
686,15222,17222,47059,99
687,15220,17221,47070,99
688,15217,17219,47091,98
689,15216,17217,47083,98
690,15213,17215,47093,98
691,15213,17213,47146,98
692,15213,17211,47150,99
693,15212,17213,47151,100
694,15214,17212,47148,100
695,15214,17213,47166,98
696,15213,17212,47197,98
697,15213,17212,47188,97
698,15212,17211,47173,96
699,15212,17211,47184,95
700,15213,17209,47214,94
701,15213,17209,47198,93
702,15213,17211,47206,94
703,15213,17209,47183,94
704,15211,17210,47182,94
705,15210,17211,47197,94
706,15210,17211,47193,95
707,15212,17210,47187,95
708,15212,17210,47189,93
709,15211,17209,47181,92
710,15210,17210,47188,92
711,15210,17212,47175,92
712,15210,17212,47177,91
713,15211,17210,47186,92
714,15212,17210,47184,92
715,15212,17211,47173,93
716,15209,17211,47196,93
717,15208,17211,47183,93
718,15208,17212,47159,92
719,15208,17212,47151,92
720,15208,17212,47144,91
721,15209,17215,47119,91
722,15210,17213,47127,89
723,15210,17215,47133,89
724,15210,17213,47149,89
725,15209,17216,47165,89
726,15213,17219,47149,90
727,15212,17220,47146,90
728,15210,17220,47148,90
729,15211,17220,47153,90
730,15211,17219,47152,89
731,15212,17216,47149,88
732,15213,17214,47120,89
733,15216,17213,47111,87
734,15215,17215,47141,87
735,15216,17214,47118,88
736,15216,17211,47122,88
737,15215,17211,47112,87
738,15215,17208,47122,87
739,15214,17205,47138,86
740,15213,17207,47099,83
741,15211,17207,47088,83
742,15211,17207,47080,81
743,15209,17207,47050,80
744,15208,17206,47080,78
745,15211,17206,47083,82
746,15210,17206,47064,83
747,15208,17203,47047,83
748,15208,17203,47008,83
749,15211,17202,46994,85
750,15209,17203,46980,82
751,15211,17204,46989,84
752,15207,17198,46921,84
753,15207,17197,46879,84
754,15208,17196,46890,84
755,15205,17195,46855,85
756,15201,17192,46799,85
757,15200,17196,46785,84
758,15198,17196,46752,83
759,15193,17189,46715,84
760,15194,17186,46722,84
761,15186,17181,46680,87
762,15184,17177,46670,88
763,15182,17169,46688,88
764,15180,17165,46669,90
765,15182,17162,46590,90
766,15176,17159,46570,91
767,15173,17155,46623,93
768,15168,17150,46616,93
769,15169,17144,46646,91
770,15165,17142,46702,92
771,15164,17141,46667,92
772,15158,17133,46649,96
773,15149,17132,46692,96
774,15144,17125,46669,96
775,15138,17124,46676,98
776,15126,17118,46683,97
777,15116,17110,46745,98
778,15117,17102,46772,99
779,15107,17094,46767,101
780,15105,17087,46846,102
781,15100,17085,46924,101
782,15097,17081,46951,102
783,15088,17073,47023,103
784,15085,17071,47035,104
785,15082,17065,47025,105
786,15079,17056,47051,105
787,15072,17054,47122,105
788,15071,17050,47137,105
789,15066,17043,47214,106
790,15065,17036,47259,106
791,15063,17032,47261,106
792,15062,17030,47320,106
793,15062,17029,47332,105
794,15058,17024,47370,104
795,15053,17021,47372,106
796,15053,17019,47413,106
797,15050,17019,47418,106
798,15051,17018,47427,106
799,15049,17019,47424,106
800,15050,17017,47420,107
801,15050,17016,47436,106
802,15049,17017,47449,106
803,15047,17018,47453,107
804,15046,17011,47479,107
805,15045,17010,47487,106
806,15046,17010,47472,107
807,15044,17010,47498,108
808,15044,17011,47515,109
809,15046,17013,47506,110
810,15043,17014,47503,110
811,15043,17011,47497,111
812,15042,17012,47497,112
813,15042,17012,47462,112
814,15041,17008,47498,111
815,15041,17008,47472,112
816,15041,17008,47461,112
817,15041,17008,47474,112
818,15042,17007,47472,112
819,15040,17006,47483,112
820,15038,17007,47482,112
821,15038,17006,47501,113
822,15039,17008,47514,112
823,15041,17007,47519,112
824,15041,17008,47503,112
825,15040,17008,47497,111
826,15040,17009,47502,112
