iteration,1,2,3,4,5
638,2683,3660,7,33199,2558
639,2710,3694,7,33109,2595
640,2730,3705,6,33029,2600
641,2749,3731,6,32923,2620
642,2759,3743,6,32842,2650
643,2788,3759,5,32728,2662
644,2792,3793,5,32582,2692
645,2819,3805,5,32393,2691
646,2833,3830,6,32183,2690
647,2839,3802,7,32003,2707
648,2844,3788,7,31814,2701
649,2835,3770,7,31614,2672
650,2794,3764,8,31427,2658
651,2760,3711,9,31246,2624
652,2710,3664,8,30997,2572
653,2681,3630,8,30799,2520
654,2616,3584,9,30552,2452
655,2588,3503,7,30367,2397
656,2500,3426,7,30126,2309
657,2421,3351,8,29964,2237
658,2358,3284,9,29853,2169
659,2273,3199,9,29719,2113
660,2232,3128,8,29521,2030
661,2160,3023,8,29426,1989
662,2075,2900,9,29361,1925
663,2008,2811,10,29334,1878
664,1925,2732,8,29307,1817
665,1876,2674,5,29254,1755
666,1810,2570,4,29258,1691
667,1753,2479,5,29249,1645
668,1670,2396,3,29276,1586
669,1627,2374,3,29256,1551
670,1591,2324,4,29166,1527
671,1529,2297,4,29116,1488
672,1503,2251,7,29066,1473
673,1498,2174,5,29093,1442
674,1459,2134,4,29136,1417
675,1448,2102,4,29135,1407
676,1421,2075,3,29120,1391
677,1411,2075,7,29046,1394
678,1410,2073,7,28989,1395
679,1402,2070,6,28950,1398
680,1401,2055,7,28932,1395
681,1396,2048,6,28892,1392
682,1396,2055,6,28843,1401
683,1396,2066,8,28796,1417
684,1391,2072,9,28717,1438
685,1374,2081,9,28682,1449
686,1361,2086,9,28624,1468
687,1363,2080,10,28621,1464
688,1347,2085,11,28592,1471
689,1337,2086,10,28575,1465
690,1344,2097,9,28539,1460
691,1327,2088,9,28536,1463
692,1332,2109,9,28517,1465
693,1329,2126,8,28493,1480
694,1317,2117,9,28452,1491
695,1319,2112,9,28417,1501
696,1308,2118,9,28407,1498
697,1301,2135,9,28384,1498
698,1293,2173,10,28396,1471
699,1304,2169,9,28412,1461
700,1312,2161,9,28407,1468
701,1321,2131,8,28443,1454
702,1325,2124,9,28451,1463
703,1329,2128,9,28452,1455
704,1345,2142,9,28460,1470
705,1362,2160,10,28441,1457
706,1365,2179,11,28399,1472
707,1373,2209,10,28352,1502
708,1385,2231,11,28348,1515
709,1413,2248,10,28344,1532
710,1429,2259,10,28350,1554
711,1446,2281,10,28350,1557
712,1443,2304,8,28336,1585
713,1456,2319,8,28352,1588
714,1463,2324,8,28353,1578
715,1463,2342,10,28324,1593
716,1484,2358,7,28306,1573
717,1496,2394,7,28312,1580
718,1517,2412,7,28305,1584
719,1543,2444,6,28304,1590
720,1566,2478,6,28273,1610
721,1582,2503,9,28270,1607
722,1593,2554,9,28243,1625
723,1596,2587,9,28224,1643
724,1621,2594,8,28211,1656
725,1643,2613,6,28190,1662
726,1655,2637,8,28164,1675
727,1677,2657,7,28119,1689
728,1680,2691,7,28109,1697
729,1697,2727,9,28061,1712
730,1713,2761,10,28062,1724
731,1742,2791,10,28015,1728
732,1758,2811,9,27984,1742
733,1775,2825,8,27979,1760
734,1785,2854,10,27960,1778
735,1817,2890,10,27917,1787
736,1834,2915,7,27893,1806
737,1855,2944,8,27823,1828
738,1882,2950,6,27788,1869
739,1895,2982,6,27733,1890
740,1936,3006,6,27673,1896
741,1954,3026,7,27624,1897
742,1964,3035,7,27584,1915
743,1984,3072,7,27526,1929
744,2008,3093,8,27476,1946
745,2029,3125,8,27414,1965
746,2023,3171,7,27352,1973
747,2040,3212,7,27297,1980
748,2041,3249,8,27225,1991
749,2055,3264,8,27146,2000
750,2072,3278,8,27071,1999
751,2070,3298,6,27007,1998
752,2062,3302,6,26961,1999
753,2070,3326,6,26889,2003
754,2080,3344,5,26782,2015
